att,rep,mid,fin
65,45,0,10
95,30,60,10
65,85,15,20
55,35,35,5
80,60,55,70
75,40,75,85
65,70,60,75
60,25,20,35
95,55,65,90
90,25,95,50
55,45,75,30
95,60,25,55
95,35,0,25
50,55,90,45
50,65,50,70
95,100,25,40
50,65,35,85
65,85,10,5
70,65,65,80
90,70,100,30
80,45,80,85
55,45,85,70
65,35,45,20
70,25,50,70
85,55,30,80
90,30,30,0
100,65,50,70
80,70,50,100
80,35,25,65
55,75,20,25
75,75,85,95
80,95,5,5
95,60,65,10
95,60,90,75
100,75,70,25
100,55,35,85
80,60,65,55
70,80,0,10
85,65,60,60
100,95,0,25
95,60,15,45
75,40,30,10
70,80,50,25
50,45,10,10
100,100,100,50
75,50,60,5
85,50,35,100
80,35,75,80
95,45,35,80
65,85,85,15
90,30,25,5
65,65,35,70
80,65,30,90
95,80,45,35
65,75,50,35
90,55,100,30
95,25,95,90
100,50,80,10
50,55,35,60
90,70,35,25
50,55,15,75
80,50,55,90
50,75,65,90
70,40,90,5
65,85,20,90
60,30,0,50
50,65,15,0
60,95,30,70
70,70,5,0
75,45,15,75
50,60,15,50
85,90,90,90
80,25,85,20
55,75,95,90
85,30,45,15
65,30,45,15
85,95,35,25
60,25,10,50
95,45,90,35
85,50,60,45
60,50,100,70
100,75,60,0
100,90,85,75
55,100,100,60
70,60,30,40
70,90,95,40
55,50,0,5
100,100,45,90
85,70,90,80
100,85,65,85
60,65,35,15
65,75,75,85
65,25,40,0
75,75,50,40
50,55,80,55
75,30,20,50
100,50,25,65
90,30,95,35
55,100,80,0
75,60,15,40
60,25,25,50
85,35,10,60
60,100,55,40
70,55,50,75
80,65,95,85
65,35,15,65
85,70,100,0
100,30,60,65
65,70,55,70
85,55,85,90
85,95,80,10
85,70,75,5
100,35,70,0
95,45,55,65
95,85,40,65
55,50,30,85
85,50,5,65
75,90,85,85
95,70,10,5
85,35,80,95
95,50,80,90
100,65,75,40
95,70,70,0
95,70,20,25
100,60,10,5
55,35,25,10
60,90,40,5
85,90,85,75
75,85,25,35
55,30,50,45
70,60,75,75
80,30,95,5
90,85,80,15
90,25,95,5
60,85,50,20
90,50,95,95
75,95,65,40
60,40,35,0
55,100,15,80
70,75,80,0
75,65,25,20
90,75,80,25
50,75,75,20
55,45,35,45
90,70,90,0
75,30,100,60
90,85,0,40
85,70,35,0
100,75,100,85
55,35,20,10
70,75,90,90
90,90,55,55
55,60,40,0
100,90,5,30
50,55,25,80
100,100,90,55
70,45,70,75
85,95,85,90
55,25,95,45
75,30,10,95
65,85,15,60
70,90,70,0
60,85,70,85
100,25,10,20
75,25,80,25
90,95,40,80
95,90,50,50
90,90,65,85
95,75,50,40
55,60,70,5
95,85,0,15
65,60,35,20
65,50,5,5
90,25,60,25
100,40,40,15
70,25,100,75
100,30,70,70
50,55,55,5
70,35,70,100
70,60,60,80
55,45,90,5
55,55,10,95
65,80,10,30
90,25,35,55
100,30,30,85
70,85,70,65
60,100,45,100
70,25,100,15
70,35,80,25
65,60,30,35
95,35,40,95
50,80,65,90
100,40,80,80
55,30,95,100
65,40,65,70
55,70,40,95
65,85,25,85
85,85,100,10
80,65,35,60
50,95,45,85
